,evType,STATE,Reports,totalPropertyDamage,totalCropDamage,meanPropertyDamage,meanCropDamage,Injuries,meanInjuries,Fatalities,meanFatalities
1,astronomical low tide,AK,2,0,0,0,0,0,0,0,0
2,astronomical low tide,CA,2,0.12,0,0.06,0,0,0,0,0
3,astronomical low tide,DE,33,0,0,0,0,0,0,0,0
4,astronomical low tide,FL,1,0,0,0,0,0,0,0,0
5,astronomical low tide,GA,2,0,0,0,0,0,0,0,0
6,astronomical low tide,ID,1,0,0,0,0,0,0,0,0
7,astronomical low tide,KS,1,0,0,0,0,0,0,0,0
8,astronomical low tide,LA,11,0,0,0,0,0,0,0,0
9,astronomical low tide,MD,4,0,0,0,0,0,0,0,0
10,astronomical low tide,ME,1,0.2,0,0.2,0,0,0,0,0
11,astronomical low tide,NJ,84,0,0,0,0,0,0,0,0
12,astronomical low tide,OR,2,0,0,0,0,0,0,0,0
13,astronomical low tide,PA,26,0,0,0,0,0,0,0,0
14,astronomical low tide,SC,1,0,0,0,0,0,0,0,0
15,astronomical low tide,TX,3,0,0,0,0,0,0,0,0
16,avalanche,AK,52,0.864,0,0.0166153846153846,0,17,326.923076923077,33,634.615384615385
17,avalanche,AZ,1,0,0,0,0,0,0,0,0
18,avalanche,CA,14,0.14,0,0.01,0,10,714.285714285714,9,642.857142857143
19,avalanche,CO,137,0.4918,0,0.00358978102189781,0,35,255.474452554745,48,350.36496350365
20,avalanche,ID,21,0.031,0,0.00147619047619048,0,6,285.714285714286,16,761.904761904762
21,avalanche,MT,14,0,0,0,0,4,285.714285714286,8,571.428571428571
22,avalanche,NH,2,0,0,0,0,1,500,3,1500
23,avalanche,NV,5,0,0,0,0,2,400,1,200
24,avalanche,NY,1,0,0,0,0,5,5000,1,1000
25,avalanche,OR,11,0,0,0,0,5,454.545454545455,3,272.727272727273
26,avalanche,UT,46,0.07,0,0.00152173913043478,0,25,543.478260869565,44,956.521739130435
27,avalanche,WA,39,2.1,0,0.0538461538461538,0,25,641.025641025641,34,871.794871794872
28,avalanche,WY,35,0.015,0,0.000428571428571429,0,21,600,23,657.142857142857
29,blizzard,AK,865,0.201,0,0.000232369942196532,0,5,5.78034682080925,7,8.09248554913295
30,blizzard,AZ,6,0,0,0,0,0,0,0,0
31,blizzard,CA,11,0.15,0,0.0136363636363636,0,0,0,0,0
32,blizzard,CO,97,71.57,0,0.737835051546392,0,4,41.2371134020619,10,103.092783505155
33,blizzard,CT,11,0,0,0,0,0,0,0,0
34,blizzard,DC,2,0,0,0,0,0,0,0,0
35,blizzard,DE,2,1,0,0.5,0,0,0,0,0
36,blizzard,HI,2,0,0,0,0,0,0,0,0
37,blizzard,IA,125,5.07003,0,0.04056024,0,7,56,3,24
38,blizzard,ID,27,0.497,0,0.0184074074074074,0,1,37.037037037037,3,111.111111111111
39,blizzard,IL,48,1.455,0,0.0303125,0,0,0,0,0
40,blizzard,IN,17,0.1,0,0.00588235294117647,0,0,0,0,0
41,blizzard,KS,75,6.457,0,0.0860933333333333,0,10,133.333333333333,1,13.3333333333333
42,blizzard,MA,3,0.115,0,0.0383333333333333,0,0,0,0,0
43,blizzard,MD,15,0.16,0,0.0106666666666667,0,150,10000,2,133.333333333333
44,blizzard,ME,24,0,0,0,0,0,0,0,0
45,blizzard,MI,89,0.324,0,0.00364044943820225,0,0,0,0,0
46,blizzard,MN,179,25.735,0,0.14377094972067,0,14,78.2122905027933,6,33.5195530726257
47,blizzard,MO,27,0,0,0,0,0,0,0,0
48,blizzard,MT,171,1.85,0,0.0108187134502924,0,7,40.9356725146199,3,17.5438596491228
49,blizzard,NC,5,0,0,0,0,0,0,0,0
50,blizzard,ND,146,224.558,0,1.53806849315068,0,97,664.383561643836,8,54.7945205479452
51,blizzard,NE,120,16.508,0.05,0.137566666666667,0.000416666666666667,5,41.6666666666667,1,8.33333333333333
52,blizzard,NH,1,0,0,0,0,0,0,0,0
53,blizzard,NJ,15,18.8,0,1.25333333333333,0,0,0,3,200
54,blizzard,NM,9,0,0,0,0,0,0,0,0
55,blizzard,NV,4,0,0,0,0,0,0,0,0
56,blizzard,NY,26,2.5,0,0.0961538461538461,0,0,0,0,0
57,blizzard,OH,5,0,0,0,0,0,0,0,0
58,blizzard,OK,25,9.58,7,0.3832,0.28,0,0,1,40
59,blizzard,OR,20,0.2,0,0.01,0,0,0,0,0
60,blizzard,PA,4,18.97,0,4.7425,0,0,0,7,1750
61,blizzard,RI,2,0.01,0,0.005,0,0,0,0,0
62,blizzard,SD,275,71.48492,0,0.259945163636364,0,28,101.818181818182,6,21.8181818181818
63,blizzard,TX,12,0.5,0,0.0416666666666667,0,0,0,0,0
64,blizzard,UT,11,40,0,3.63636363636364,0,50,4545.45454545455,3,272.727272727273
65,blizzard,VA,8,0.35,0,0.04375,0,1,125,1,125
66,blizzard,VT,1,0,0,0,0,0,0,0,0
67,blizzard,WA,15,0.016,0,0.00106666666666667,0,1,66.6666666666667,3,200
68,blizzard,WI,36,0.011,0,0.000305555555555556,0,5,138.888888888889,1,27.7777777777778
69,blizzard,WV,8,0,0,0,0,0,0,0,0
70,blizzard,WY,90,7.487,0.01,0.0831888888888889,0.000111111111111111,0,0,1,11.1111111111111
71,coastal flood,AK,26,25.84206,0,0.993925384615385,0,0,0,3,115.384615384615
72,coastal flood,AL,11,0.068,0,0.00618181818181818,0,0,0,0,0
73,coastal flood,CA,23,1.285,0,0.0558695652173913,0,1,43.4782608695652,0,0
74,coastal flood,CT,17,0,0,0,0,0,0,2,117.647058823529
75,coastal flood,DC,11,0,0,0,0,0,0,0,0
76,coastal flood,DE,80,46.1,0,0.57625,0,5,62.5,0,0
77,coastal flood,FL,39,4.631,0,0.11874358974359,0,0,0,0,0
78,coastal flood,GA,9,0.04,0,0.00444444444444444,0,0,0,0,0
79,coastal flood,IN,1,0.005,0,0.005,0,0,0,0,0
80,coastal flood,LA,18,5.746,0,0.319222222222222,0,0,0,0,0
81,coastal flood,MA,51,17.979,0,0.352529411764706,0,0,0,0,0
82,coastal flood,MD,38,3.93,0,0.103421052631579,0,1,26.3157894736842,0,0
83,coastal flood,ME,35,17.07,0,0.487714285714286,0,1,28.5714285714286,0,0
84,coastal flood,MS,8,0,0,0,0,0,0,0,0
85,coastal flood,NC,34,13.035,0,0.383382352941176,0,0,0,0,0
86,coastal flood,NH,24,5.3045,0,0.221020833333333,0,0,0,0,0
87,coastal flood,NJ,223,57.93,0,0.259775784753363,0,1,4.48430493273543,0,0
88,coastal flood,NY,78,45.251,0,0.580141025641026,0,1,12.8205128205128,2,25.6410256410256
89,coastal flood,OR,2,18.3,0,9.15,0,0,0,0,0
90,coastal flood,PA,52,0.3,0,0.00576923076923077,0,0,0,0,0
91,coastal flood,PR,27,0.345,0,0.0127777777777778,0,0,0,3,111.111111111111
92,coastal flood,RI,11,0.024,0,0.00218181818181818,0,0,0,0,0
93,coastal flood,SC,29,0.075,0,0.00258620689655172,0,0,0,0,0
94,coastal flood,TX,16,22.685,0,1.4178125,0,0,0,0,0
95,coastal flood,VA,25,125.008,0,5.00032,0,0,0,0,0
96,coastal flood,VI,1,0,0,0,0,0,0,0,0
97,coastal flood,WA,7,5.74,0,0.82,0,0,0,0,0
98,cold/wind chill,AK,134,0,0,0,0,0,0,1,7.46268656716418
99,cold/wind chill,AL,20,0,0,0,0,0,0,0,0
100,cold/wind chill,AR,5,0.7,0,0.14,0,0,0,2,400
101,cold/wind chill,AZ,11,1.18,0,0.107272727272727,0,1,90.9090909090909,2,181.818181818182
102,cold/wind chill,CA,41,0,0,0,0,18,439.024390243902,4,97.5609756097561
103,cold/wind chill,CO,24,0.1,0,0.00416666666666667,0,0,0,0,0
104,cold/wind chill,CT,9,0,0,0,0,0,0,0,0
105,cold/wind chill,DC,4,0,0,0,0,0,0,0,0
106,cold/wind chill,DE,15,0,0,0,0,1,66.6666666666667,1,66.6666666666667
107,cold/wind chill,FL,28,0,17.05,0,0.608928571428571,1,35.7142857142857,4,142.857142857143
108,cold/wind chill,GA,5,0,0,0,0,0,0,0,0
109,cold/wind chill,IA,118,0.75,0,0.00635593220338983,0,0,0,1,8.47457627118644
110,cold/wind chill,ID,25,0,0,0,0,0,0,0,0
111,cold/wind chill,IL,118,0,0,0,0,6,50.8474576271187,117,991.525423728814
112,cold/wind chill,IN,15,0,0,0,0,0,0,7,466.666666666667
113,cold/wind chill,KS,21,0.004,0.5,0.00019047619047619,0.0238095238095238,0,0,1,47.6190476190476
114,cold/wind chill,KY,10,0.033,0,0.0033,0,1,100,1,100
115,cold/wind chill,LA,5,0.4,0.1,0.08,0.02,0,0,2,400
116,cold/wind chill,MA,6,0,0,0,0,0,0,1,166.666666666667
117,cold/wind chill,MD,29,0,0,0,0,0,0,1,34.4827586206897
118,cold/wind chill,ME,57,0,0,0,0,0,0,0,0
119,cold/wind chill,MI,52,0.525,0,0.0100961538461538,0,10,192.307692307692,4,76.9230769230769
120,cold/wind chill,MN,138,0.505,0,0.00365942028985507,0,0,0,7,50.7246376811594
121,cold/wind chill,MO,13,0,0,0,0,0,0,0,0
122,cold/wind chill,MS,4,0.5,0,0.125,0,0,0,3,750
123,cold/wind chill,MT,150,0,0,0,0,0,0,4,26.6666666666667
124,cold/wind chill,NC,6,0,0,0,0,0,0,3,500
125,cold/wind chill,ND,125,0.36,0,0.00288,0,2,16,8,64
126,cold/wind chill,NE,155,0,0,0,0,2,12.9032258064516,2,12.9032258064516
127,cold/wind chill,NH,22,0,0,0,0,0,0,0,0
128,cold/wind chill,NJ,25,0,0,0,0,7,280,7,280
129,cold/wind chill,NM,23,0.925,0,0.0402173913043478,0,0,0,4,173.913043478261
130,cold/wind chill,NV,5,0,0,0,0,0,0,3,600
131,cold/wind chill,NY,52,0.42,0,0.00807692307692308,0,0,0,11,211.538461538462
132,cold/wind chill,OH,10,0.016,0,0.0016,0,0,0,3,300
133,cold/wind chill,OK,7,0.1,0,0.0142857142857143,0,0,0,1,142.857142857143
134,cold/wind chill,OR,8,0,0,0,0,0,0,1,125
135,cold/wind chill,PA,54,0.105,0,0.00194444444444444,0,1,18.5185185185185,13,240.740740740741
136,cold/wind chill,SC,12,0,0,0,0,1,83.3333333333333,13,1083.33333333333
